Region,STATE,Uninsured,HighSchoolGradPct,HighSchoolGradRank,BachelorPct,BachelorRank,AdvancedPct,GDPperCapita,DebtLow,DebtHigh,Year,Population,ViolentCrimeTotal,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,ViolentCrimePer1000,HighSchoolRankBucket,Happiness
Southeast,SouthCarolina,13.6,0.865,37,0.27,38,0.098,46965,1.62,1.75,2014,4832482,24052,311,1480,2068,3997,17676,167217,36721,117594,12902,4.977152527,27-38,7.541754292
Midwest,SouthDakota,9.8,0.914,13,0.278,35,0.083,41091,1.09,1.24,2014,853175,2786,20,413,470,200,2096,15902,2818,12077,1007,3.265449644,0-13,8.431802497
Southeast,Tennessee,12,0.865,38,0.261,42,0.096,50266,1.24,1.33,2014,6549352,39848,371,1861,2531,7265,29681,200447,46642,141206,12599,6.084266046,27-38,7.631627476
Intermountain,Texas,19.1,0.828,50,0.287,30,0.099,48173,1.09,1.24,2014,26956958,109414,1184,8236,11393,31181,65656,813934,169234,576154,68546,4.058840764,38-51,6.81683127
Intermountain,Utah,12.5,0.918,10,0.325,16,0.11,41929,1.62,1.75,2014,2942902,6346,67,945,1454,1312,3513,84711,11518,65895,7298,2.156374898,0-13,8.333941035
Northeast,Vermont,5,0.923,7,0.368,8,0.15,43042,1.33,1.41,2014,626562,622,10,99,110,70,432,9551,2034,7273,244,0.992718997,0-13,9.256657678
National Capital,Virginia,10.9,0.89,30,0.376,7,0.161,51546,1.75,1.89,2014,8326289,16340,338,1432,2310,4292,9400,160720,23122,129933,7665,1.962458906,27-38,8.407877911
Pacific,Washington,9.2,0.908,16,0.345,12,0.127,53439,1.51,1.62,2014,7061530,20136,174,2171,2695,5640,11627,261706,55290,175769,30647,2.851506685,14-26,8.690208556
National Capital,WestVirginia,8.6,0.859,42,0.199,51,0.079,35509,1.09,1.24,2014,1850326,5588,74,285,505,651,4358,37648,8973,26779,1896,3.020008366,38-51,7.924189383
Midwest,Wisconsin,7.3,0.917,11,0.29,27,0.099,45382,1.09,1.24,2014,5757564,16714,165,1168,1674,5066,9809,120238,21216,89103,9919,2.902963823,0-13,8.824776472
Intermountain,Wyoming,12,0.928,4,0.267,41,0.093,60777,1.41,1.51,2014,584153,1142,16,126,174,53,899,11477,1689,9185,603,1.954967277,0-13,8.799765684
